keys,en,de,el,es,fr,gl,it,ja,ms,nb,nl,pl,pt_BR,ru,tr
help_mode3_1,The goal is to score the most points in exactly 100 seconds.,The goal is to score the most points in exactly 100 seconds.,Ο στόχος είναι να συγκεντρώσετε την μεγαλύτερη βαθμολογία σε ακριβώς 100 δευτερόλεπτα.,La meta es obtener la mayor cantidad de puntos en exactamente 100 segundos.,L'objectif est de marquer le plus de points en 100 secondes.,A meta é conseguir o maior número de puntos en 100 segundos exactamente.,L\'obiettivo è realizzare più punti possibile in 100 secondi esatti.,"100秒以内に多くのスコアを
獲得することが目的です。",Matlamatnya adalah untuk mendapatkan lebih mata dalam tempoh 100 saat.,Målet er å sanke flest mulig poeng i løpet av 100 sekunder,Het doel is om binnen 100 seconden de meeste punten te scoren.,"Celem jest, zdobyć jak najwięcej punktów w dokładnie 100 sekund.",O objetivo é marcar o máximo de pontos em 100 segundos.,Цель - набрать как можно больше очков всего лишь в 100 секунд,Hedefiniz en fazla puan kazanmaktır.
start_at_level_10,"You seem to be good, maybe do you want to start this game at level 10 ?","Du scheinst gut zu sein, vielleicht möchtest du dieses Spiel bei Level 10 beginnen?","Φαίνεται πς ειστε καλος παικτης, θέλετε να ξεκινήσετε το παιχνίδι στο επίπεδο 10;","Pareces bueno, ¿quizá quieres empezar este juego en el nivel 10?","Vous semblez maîtriser les premiers niveaux! S'ils vous ennuient, vous pouvez passer au niveau 10!","Parece que non se che dá mal, quizais queiras iniciar o xogo no nivel 10?","Sembri bravo, vuoi forse iniziare questo gioco dal livello 10 ?","とてもお上手ですね。
10レベルから始められますがいかが？","Anda memang bagus, mungkin anda boleh mulakan permainan ini pada tahap 10?","Det later til at du er god, kanskje du vil starte spillet på nivå 10?",U lijkt het erg goed te doen. Wilt u een nieuw spel starten op level 10?,"Wydajesz się być dobry, może chcesz rozpocząć nową grę na poziomie 10?","Você parece ser bom, talvez você queira começar o jogo no nível 10?","Кажется, вы хороший игрок, может быть вы хотели бы начать игру на уровне 10 ?","Bu işte iyisin , belki de oyuna 10. seviyeden başlamak istersin ?"
start_at_level_10_yes,Jump to level 10!,Springt zu Level 10!,Μετάβαση στο επίπεδο 10!,¡Salta al nivel 10!,"Allons-y, niveau 10 !",Saltar ao nivel 10!,Salta al livello 10!,10レベルから始める,Lompat ke tahap 10!,Hopper til nivå 10!,Breng me naar level 10!,Skocz do poziomu 10!,Pula para o nível 10!,Перейти на 10 уровень!,10. seviyeye atladın !
support_us,Support us,Unterstütze uns,Υποστηρίξτε μας,Apóyanos,Pour nous aider...,Apoianos,Supportaci,Support us,Sokong kami,Støtt oss,Ondersteun ons,Wesprzyj nas,Ajude-nos,Помочь нам,Bizi destekleyin
about_us,About us,Über uns,Σχετικά με εμάς,Acerca de nosotros,Pour nous encourager,Acerca de,Chi siamo,About us,Perihal kami,Om oss,Over ons,O nas,Sobre nós,О нас,Hakkımızda
sound_on,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON,Sound: ON
sound_off,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF,Sound: OFF
back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back,Back
quest,Quest,Quest,Quest,Misión,Quête,Misión,Missione,クエスト,Quest,Quest,Quest,Misja,Missão,Квест,Görev
arcade,Arcade,Arcade,Arcade,Arcade,Arcade,Arcade,Arcade,アーケード,Arcade,Arcade,Arcade,Arcade,Arcade,Аркада,Arcade
moves,Moves,Züge,Moves,Movimientos,Coups,Movementos,Mosse,手数,Gerakan,Trekk,Zetten,Ruchy,Movimentos,Ходы,Hamle
stickers,Stickers,Sticker,Stickers,Pegatinas,Autocollants,Pegatinas,Adesivi,ステッカー,Pelekat,Klistremerker,Stickers,Naklejki,Adesivos,Наклейки,Çıkartma
ingredients,Ingredients,Zutaten,Ingredients,Ingredientes,Ingrédients,Ingredientes,Ingredienti,材料,Bahan,Ingredienser,Ingrediënten,Składniki,Ingredientes,Ингредиенты,Malzemeler
orders,Orders,Aufträge,Orders,Pedidos,Commandes,Pedidos,Ordini,注文,Pesanan,Bestillinger,Bestellingen,Zamówienia,Pedidos,Заказы,Siparişler
daily_desk,Daily Desk,Täglicher Schreibtisch,Daily Desk,Escritorio diario,Bureau du jour,Escritorio diario,Scrivania giornaliera,デイリー,Meja Harian,Daglig pult,Dagelijkse bureau,Codzienne biurko,Mesa diária,Ежедневный стол,Günlük masa
craft_tray,Craft Tray,Basteltablett,Craft Tray,Bandeja craft,Plateau craft,Bandexa craft,Vassoio craft,クラフト,Dulang Kraft,Håndverkskuffe,Knutseltray,Tacka craft,Bandeja craft,Лоток craft,Craft tepsisi
scrap_codex,Scrap Codex,Scrap-Kodex,Scrap Codex,Códice scrap,Codex scrap,Códice scrap,Codice scrap,スクラップ図鑑,Kodex Scrap,Scrap-kodeks,Scrapcodex,Kodeks scrap,Códice scrap,Кодекс scrap,Scrap kodeksi
mode_zen,Zen Desk,Zen-Schreibtisch,Zen,Escritorio Zen,Bureau Zen,Escritorio Zen,Scrivania Zen,禅,Meja Zen,Zen-pult,Zen-bureau,Biurko Zen,Mesa Zen,Стол Дзен,Zen masa
special_stripe,Rayado!,Gestreift!,Stripe!,¡Rayado!,Rayé !,Raiado!,Riga!,ストライプ！,Belang!,Stripet!,Gestreept!,Paski!,Listrado!,Полоски!,Çizgili!
special_wrapped,Paquete!,Paket!,Wrapped!,¡Paquete!,Paquet !,Paquete!,Pacco!,包み！,Bungkus!,Pakke!,Pakket!,Paczka!,Pacote!,Пакет!,Paket!
special_bomb,Confetti!,Konfetti!,Bomb!,¡Confeti!,Confettis !,Confeti!,Corinandoli!,紙吹雪！,Konfeti!,Konfetti!,Confetti!,Konfetti!,Confete!,Конфетти!,Konfeti!
special_fish,Avioncito!,Papierflieger!,Fish!,¡Avioncito!,Avion !,Avióiño!,Aereino!,紙飛行機！,Kapal kertas!,Papirfly!,Vliegtuigje!,Samolot!,Aviãozinho!,Самолётик!,Kağıt uçak!
special_blast,Paper boom!,Papier-Boom!,Paper boom!,¡Boom papel!,Boum papier !,Boom papel!,Boom carta!,紙ブーム！,Ledakan kertas!,Papir-boom!,Papierboom!,Bum papieru!,Boom de papel!,Бум бумаги!,Kağıt patlaması!
sugar_crush,Sugar crush!,Sugar Crush!,Sugar crush!,¡Lluvia de confeti!,Sugar crush !,Chuvia de confeti!,Pioggia confetti!,シュガークラッシュ！,Hujan konfeti!,Konfettiregen!,Confettiregen!,Deszcz konfetti!,Chuva de confete!,Сахарный краш!,Şeker yağmuru!
near_miss,Almost!,Fast!,Almost!,¡Casi!,Presque !,Case!,Quasi!,もう少し！,Hampir!,Nesten!,Bijna!,Prawie!,Quase!,Почти!,Neredeyse!
photo_mode,Photo,Foto,Photo,Foto,Photo,Foto,Foto,写真,Foto,Foto,Foto,Foto,Foto,Фото,Foto
booster_use,Booster,Booster,Booster,Booster,Booster,Booster,Booster,ブースター,Booster,Booster,Booster,Booster,Booster,Бустер,Booster
booster_scissors,Scissors,Schere,Scissors,Tijeras,Ciseaux,Tesoiras,Forbici,はさみ,Gunting,Saks,Schaar,Nożyczki,Tesoura,Ножницы,Makas
booster_free_swap,Free swap,Freier Tausch,Free swap,Swap libre,Échange libre,Swap libre,Scambio libero,自由スワップ,Tukar bebas,Fri bytte,Vrije ruil,Wolna zamiana,Troca livre,Свободный своп,Serbest değişim
booster_confetti,Confetti bag,Konfettibeutel,Confetti,Saquito confeti,Sachet confettis,Saquito confeti,Sacchetto,紙吹雪袋,Kantong konfeti,Konfettipose,Confettizak,Torebka konfetti,Sacola confete,Мешочек конфетти,Konfeti torbası
booster_plus_moves,+Moves,+Züge,+Moves,+Movimientos,+Coups,+Movementos,+Mosse,+手数,+Gerakan,+Trekk,+Zetten,+Ruchy,+Movimentos,+Ходы,+Hamle
credits_title,Scrapbook credits,Scrapbook-Credits,Credits,Créditos scrapbook,Générique scrapbook,Créditos scrapbook,Crediti scrapbook,クレジット,Kredit scrapbook,Scrapbook-kreditter,Scrapbook-credits,Napisy scrapbook,Créditos scrapbook,Титры scrapbook,Scrapbook kredileri
credits_body,"Paper scraps, glue, and tape - made with love for free play. No ads, no purchases.","Papierfetzen, Kleber und Tape - mit Liebe, gratis. Keine Werbung, keine Käufe.","Paper scraps, glue, and tape. Free play. No ads.","Recortes, pegamento y cinta - hecho con cariño. Sin ads ni compras.","Chutes, colle et scotch - fait avec amour. Sans pubs ni achats.","Recortes, pegamento e cinta. Sen ads nin compras.","Scarti, colla e nastro. Senza ads né acquisti.",紙切れとテープ。無料。広告なし。,Guntingan kertas. Gratis. Tanpa iklan.,Papirbiter og tape. Gratis. Ingen reklame.,Papiersnippers en tape. Gratis. Geen ads.,Ścinki i taśma. Za darmo. Bez reklam.,Recortes e fita - feito com carinho. Sem ads nem compras.,Обрезки и скотч. Бесплатно. Без рекламы.,Kağıt kırpıntıları. Ücretsiz. Reklam yok.
feels_lab,Feels lab,FX-Labor,Feels lab,Lab de feel,Labo feel,Lab de feel,Lab feel,フィールラボ,Lab rasa,Følelse-lab,Feels-lab,Lab feeli,Lab de feel,Лаборатория эффектов,His lab
export_save,Copy save,Speicher kopieren,Copy save,Copiar partida,Copier la sauvegarde,Copiar partida,Copia salvataggio,セーブコピー,Salin save,Kopier lagring,Kopieer save,Kopiuj zapis,Copiar save,Копировать сейв,Kaydı kopyala
reduce_motion,Reduce motion,Weniger Bewegung,Reduce motion,Menos movimiento,Moins de mouvement,Menos movemento,Meno movimento,動きを減らす,Kurangi gerakan,Mindre bevegelse,Minder beweging,Mniej ruchu,Menos movimento,Меньше движения,Daha az hareket
skip,Skip,Überspringen,Skip,Saltar,Passer,Saltar,Salta,スキップ,Langkau,Hopp over,Overslaan,Pomiń,Pular,Пропустить,Atla
quest_q001,First stickers,Erste Sticker,First stickers,Primeras pegatinas,Premiers autocollants,Primeiras pegatinas,Primi adesivi,最初のステッカー,Stiker pertama,Første stickere,Eerste stickers,Pierwsze naklejki,Primeiros adesivos,Первые наклейки,İlk çıkartmalar
quest_q002,Score craft,Punkte-Basteln,Score craft,Puntos craft,Score craft,Puntos craft,Punteggio craft,スコアクラフト,Skor craft,Poeng-craft,Score craft,Punkty craft,Pontuação craft,Очки craft,Skor craft
quest_q003,Tape intro,Klebeband,Tape intro,Intro cinta,Intro scotch,Intro cinta,Intro nastro,テープ入門,Pita intro,Tape-intro,Tape intro,Taśma intro,Intro fita,Лента,Bant girişi
quest_q004,Bigger desk,Großer Schreibtisch,Bigger desk,Escritorio mayor,Grand bureau,Escritorio maior,Scrivania grande,大きな机,Meja besar,Større pult,Groter bureau,Większe biurko,Mesa maior,Большой стол,Büyük masa
quest_q005,Scrap and tape,Scrap und Band,Scrap and tape,Scrap y cinta,Scrap et scotch,Scrap e cinta,Scrap e nastro,スクラップとテープ,Scrap dan pita,Scrap og tape,Scrap en tape,Scrap i taśma,Scrap e fita,Скрап и лента,Hurda ve bant
quest_q006,Ingredient hunt,Zutatensuche,Ingredients,Caza de ingredientes,Chasse aux ingrédients,Caza de ingredientes,Caccia ingredienti,材料集め,Buruan bahan,Ingrediensjakt,Ingrediëntenjacht,Polowanie na składniki,Caça a ingredientes,Охота за ингредиентами,Malzeme avı
quest_q007,Paper orders,Papieraufträge,Orders,Pedidos de papel,Commandes papier,Pedidos de papel,Ordini di carta,紙の注文,Pesanan kertas,Papirbestillinger,Papierbestellingen,Zamówienia papieru,Pedidos de papel,Бумажные заказы,Kağıt siparişleri
quest_q008,Irregular scrap,Unregelmäßiger Scrap,Irregular,Scrap irregular,Scrap irrégulier,Scrap irregular,Scrap irregolare,いびつなスクラップ,Scrap tak beraturan,Uregelmessig scrap,Onregelmatige scrap,Nieregularny scrap,Scrap irregular,Неровный скрап,Düzensiz hurda
quest_zen,Zen desk,Zen-Schreibtisch,Zen,Escritorio Zen,Bureau Zen,Escritorio Zen,Scrivania Zen,禅デスク,Meja Zen,Zen-pult,Zen-bureau,Biurko Zen,Mesa Zen,Стол Дзен,Zen masa
help_progress,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,"Die Fortschrittsleiste zeigt, wie viel Zeit oder Zielfortschritt noch bleibt. Tippe ? fuer einen Hinweis.",The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,La barra de progreso muestra cuanto tiempo u objetivo te queda. Toca ? para una pista.,La barre de progression indique le temps ou l'objectif restant. Touche ? pour un indice.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,A barra de progresso mostra quanto tempo ou objetivo resta. Toque ? para uma dica.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.,The progress bar shows how much time or objective progress you have left. Tap ? for a hint.
help_mode2_progress,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,"Die Fortschrittsleiste zeigt deinen Fortschritt. Das Spiel endet, wenn sie voll ist. Bonusblaetter zaehlen doppelt.",The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,La barra de progreso muestra tu avance. El juego termina cuando se llena. Las hojas bonus puntuan doble.,La barre de progression indique ton avancee. La partie se termine quand elle est pleine. Les feuilles bonus comptent double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,A barra de progresso mostra seu avanco. O jogo acaba quando ela enche. Folhas bonus valem o dobro.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.,The progress bar shows your progress. The game ends when it fills. Bonus leaves score double.
